Type,Name,Description,Image,Reference,NACE,Country,starting date,ending date
Targeted companies (startups),"CHIC BY CHOICE, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2014,
Targeted companies (startups),"CITY PULSE, LDA",,,,J - Information and communication,PT,2014,
Venture Capital Funds,FCR Portugal Ventures Indústrias Criativas,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Global 2,,,,K - Financial and insurance activities,PT,2015,
Venture Capital Funds,FCR Portugal Ventures Finicia,,,,K - Financial and insurance activities,PT,2007,
Venture Capital Funds,FCR Portugal Global Ventures,,,,K - Financial and insurance activities,PT,2005,2013
Venture Capital Funds,FCR Novabase Capital,,,,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR InovCapital,,,,K - Financial and insurance activities,PT,2003,
Venture Capital Funds,FCR Change Partners I,,,,K - Financial and insurance activities,PT,2004,
Venture Capital Funds,FCR F-HITEC,,,,K - Financial and insurance activities,PT,2008,
Venture Capital Funds,Fundo de Sindicação de Capital de Risco PME – IAPMEI (“FSCR PME IAPMEI”),,,,K - Financial and insurance activities,PT,2003,
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados – CAPVEN NewCapital (“FIQ CAPVEN”),,,,K - Financial and insurance activities,PT,2003,2014
Venture Capital Funds,FCR Portugal Ventures Turismo Inovação,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Beta Ciências da Vida,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR ISTART I,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR PME / Novo Banco,,,,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR Fast Change,,,,K - Financial and insurance activities,PT,2005,
Venture Capital Funds,FCR Revitalizar Centro,,,,K - Financial and insurance activities,PT,2013,
Venture Capital Funds,FCR Portugal Ventures ACTEC II,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Biocant,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Novabase Inovação e Internacionalização,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Critical Ventures I,,,,K - Financial and insurance activities,PT,2011,
Venture Capital Funds,FCR Portugal Ventures Valor,,,,K - Financial and insurance activities,PT,1994,2004
Venture Capital Funds,Fundo de Capital de Risco para Investidores Qualificados PME Investimentos TIEC,,,,K - Financial and insurance activities,PT,2002,
Targeted companies (startups),"ALTURA PUBLISHING, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"AMANHÃ GLOBAL, S.A.",,,,J - Information and communication,PT,2013,
Targeted companies (startups),"ALLIS UBBO INFORMATION SYSTEMS, LDA",,,,J - Information and communication,PT,2010,
Targeted companies (startups),"FABER VENTURES, S.A.",,,,J - Information and communication,PT,2012,
Targeted companies (startups),"ALTAKITIN, S.A.",,,,"M - Professional, scientific and technical activities",PT,2010,
Targeted companies (startups),ALFAMA INC.,,,,Foreign Company,USA,2005,2014
Targeted companies (startups),"ADVANCED CYCLONE SYSTEMS, S.A.",,,,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,PT,2008,
Targeted companies (startups),ALFAMA - INVESTIGAÇÃO E DESENVOLVIMENTO DE PRODUTOS FARMACÊUTICOS LDA,,,,"M - Professional, scientific and technical activities",PT,2013,
Targeted companies (startups),"ADDVOLT, S.A.",,,,"M - Professional, scientific and technical activities",PT,2014,
